Review ID,Entity,Feature,Target,DocType,Confidence,Fanout,SignalType,SignalPath,Title,PrimaryCommand,Heuristic,Why,Your Verdict,Your Notes
D-001,Doc->Feature,marketplace-source-detection-improvements-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/marketplace-source-detection-improvements-v1.md,implementation_plan,,,,,Implementation Plan: Marketplace Source Detection Improvements,,LIKELY_VALID,feature slug present in path/prd/slug,KEEP,
D-002,Doc->Feature,marketplace-source-detection-improvements-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/marketplace-source-detection-improvements-v1.md,prd,,,,,PRD: Marketplace Source Detection Improvements,,LIKELY_VALID,feature slug present in path/prd/slug,KEEP,
D-003,Doc->Feature,marketplace-source-detection-improvements-v1,progress/marketplace-source-detection-improvements/phase-1-progress.md,progress,,,,,Phase 1 Progress,,LIKELY_VALID,feature slug present in path/prd/slug,KEEP,
D-004,Doc->Feature,marketplace-source-detection-improvements-v1,progress/marketplace-source-detection-improvements/phase-2-progress.md,progress,,,,,Phase 2 Progress,,LIKELY_VALID,feature slug present in path/prd/slug,KEEP,
D-005,Doc->Feature,marketplace-source-detection-improvements-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/catalog-entry-modal-enhancement-v1.md,prd,,,,,PRD: Catalog Entry Modal Enhancement with File Contents Preview,,LIKELY_NOISE,matches different feature token: catalog-entry-modal-enhancement,NOISE,
D-006,Doc->Feature,marketplace-source-detection-improvements-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/marketplace-folder-view-v1.md,prd,,,,,PRD: Marketplace Folder View,,LIKELY_NOISE,matches different feature token: marketplace-folder-view-v1,NOISE,
D-007,Doc->Feature,marketplace-source-detection-improvements-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/marketplace-github-ingestion-v1.md,prd,,,,,PRD: GitHub Marketplace Ingestion,,LIKELY_NOISE,matches different feature token: marketplace-github-ingestion-v1,NOISE,
D-008,Doc->Feature,marketplace-source-detection-improvements-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/path-based-tag-extraction-v1.md,prd,,,,,PRD: Path-Based Tag Extraction,,LIKELY_NOISE,matches different feature token: path-based-tag-extraction,NOISE,
D-009,Doc->Feature,marketplace-source-detection-improvements-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/bugs/marketplace-sources-non_skills-v1.md,document,,,,,Marketplace Sources Non Skills V1,,LIKELY_NOISE,matches different feature token: marketplace-sources-non_skills-v1,NOISE,
D-010,Doc->Feature,marketplace-source-detection-improvements-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/design-specs/marketplace-folder-view-v1.md,document,,,,,Marketplace Folder View V1,,LIKELY_NOISE,matches different feature token: marketplace-folder-view-v1,NOISE,
D-011,Doc->Feature,marketplace-source-detection-improvements-v1,progress/ph2-intelligence/subagent-assignments.md,progress,,,,,Subagent Assignments,,UNCERTAIN,no direct feature token match but not clearly generic,,
S-012,Session->Feature,marketplace-source-detection-improvements-v1,S-1bd2ff39-0955-466f-9fdf-94c209fcd8ff,,0.750,44,file_read,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/memory-context-system-v1/phase-6-progress.md,/recovering-sessions - marketplace-source-detection-improvements-v1,/recovering-sessions,LIKELY_VALID,feature token present in title/signal path,NOISE,"This is a phased execution of memory-context-system-v1, as noted in SignalPath. Title is a complete mistake."
