Review ID,Entity,Feature,Target,DocType,Confidence,Fanout,SignalType,SignalPath,Title,PrimaryCommand,Heuristic,Why,Your Verdict,Your Notes
R2-D-001,Doc->Feature,marketplace-source-detection-improvements-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/marketplace-source-detection-improvements-v1.md,implementation_plan,,,,,Implementation Plan: Marketplace Source Detection Improvements,,LIKELY_VALID,feature token in doc path/prd/slug,KEEP,
R2-D-002,Doc->Feature,marketplace-source-detection-improvements-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/marketplace-source-detection-improvements-v1.md,prd,,,,,PRD: Marketplace Source Detection Improvements,,LIKELY_VALID,feature token in doc path/prd/slug,KEEP,
R2-D-003,Doc->Feature,marketplace-source-detection-improvements-v1,progress/marketplace-source-detection-improvements/phase-1-progress.md,progress,,,,,Phase 1 Progress,,LIKELY_VALID,feature token in doc path/prd/slug,KEEP,
R2-D-004,Doc->Feature,marketplace-source-detection-improvements-v1,progress/marketplace-source-detection-improvements/phase-2-progress.md,progress,,,,,Phase 2 Progress,,LIKELY_VALID,feature token in doc path/prd/slug,KEEP,
R2-D-005,Doc->Feature,marketplace-source-detection-improvements-v1,progress/marketplace-source-detection-improvements/phase-3-progress.md,progress,,,,,Phase 3 Progress,,LIKELY_VALID,feature token in doc path/prd/slug,KEEP,
R2-D-006,Doc->Feature,marketplace-source-detection-improvements-v1,progress/marketplace-source-detection-improvements/phase-4-progress.md,progress,,,,,Phase 4 Progress,,LIKELY_VALID,feature token in doc path/prd/slug,KEEP,
R2-D-007,Doc->Feature,marketplace-source-detection-improvements-v1,progress/marketplace-source-detection-improvements/phase-5-progress.md,progress,,,,,Phase 5 Progress,,LIKELY_VALID,feature token in doc path/prd/slug,KEEP,
R2-D-008,Doc->Feature,marketplace-source-detection-improvements-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/marketplace-folder-view-v1.md,prd,,,,,PRD: Marketplace Folder View,,LIKELY_NOISE,doc points to other feature: marketplace-folder-view-v1,NOISE,
R2-S-009,Session->Feature,marketplace-source-detection-improvements-v1,S-2eebf848-7afe-4025-a161-72fe98549e68,,0.950,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/marketplace-source-detection-improvements-v1.md,Marketplace detection schema validation and Pydantic models,/dev:execute-phase,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-010,Session->Feature,marketplace-source-detection-improvements-v1,S-23d0f95c-6952-455a-b384-f20551341984,,0.800,1,file_read,docs/project_plans/implementation_plans/features/marketplace-source-detection-improvements-v1.md,Marketplace Source Detection Phase 4 Frontend Complete,/dev:execute-phase,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-011,Session->Feature,marketplace-source-detection-improvements-v1,S-5819855c-4e7e-4acc-b97f-a6e9f0346792,,0.800,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/marketplace-source-detection-improvements-v1.md,Fix artifact detection logic for manual mappings,/dev:quick-feature,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-012,Session->Feature,marketplace-source-detection-improvements-v1,S-6ce3ec8f-3a8e-453f-9400-40a26b93dec5,,0.800,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/features/marketplace-source-detection-improvements-v1.md,Marketplace deduplication hash fix,/fix:debug,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-013,Session->Feature,marketplace-source-detection-improvements-v1,S-94f71371-4408-4444-8219-f4e101a84bc5,,0.350,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/features/marketplace-source-detection-improvements-v1.md,"Marketplace Source Detection: PRD, Plan, Progress",/plan:plan-feature,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-D-014,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,implementation_plan,,,,,Implementation Plan: Artifact Metadata Caching Enhancement,,LIKELY_VALID,feature token in doc path/prd/slug,KEEP,
R2-D-015,Doc->Feature,artifact-metadata-cache-v1,progress/artifact-metadata-cache/all-phases-progress.md,progress,,,,,All Phases Progress,,LIKELY_VALID,feature token in doc path/prd/slug,KEEP,
R2-D-016,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/PRDs/tools-api-support-v1.md,prd,,,,,PRD: Tools API Support for Artifact Metadata,,LIKELY_NOISE,doc points to other feature: tools-api-support-v1,NOISE,
R2-D-017,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/data-flow-standardization-v1.md,implementation_plan,,,,,Implementation Plan: Data Flow Standardization,,LIKELY_NOISE,doc points to other feature: data-flow-standardization-v1,NOISE,
R2-D-018,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/tag-storage-consolidation-v1.md,implementation_plan,,,,,Implementation Plan: Tag Storage Consolidation,,LIKELY_NOISE,doc points to other feature: tag-storage-consolidation-v1,NOISE,
R2-D-019,Doc->Feature,artifact-metadata-cache-v1,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/reports/data-flow-standardization-report.md,report,,,,,Architecture Report: Data Flow Standardization — Frontend <-> Backend <-> Storage,,LIKELY_NOISE,doc points to other feature: data-flow-standardization,NOISE,
R2-S-020,Session->Feature,artifact-metadata-cache-v1,S-28f6a6c8-fbc6-4094-9fcb-16af95fc16c4,,0.950,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,Artifact metadata cache implementation phases 1-3 complete,/dev:execute-phase,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-021,Session->Feature,artifact-metadata-cache-v1,S-3b321b9b-f7a8-41e3-b5af-736693eb7e46,,0.950,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,Artifact metadata cache Phase 4-5 execution complete,/dev:execute-phase,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-022,Session->Feature,artifact-metadata-cache-v1,S-agent-a00f3ee,,0.820,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,Session,,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-023,Session->Feature,artifact-metadata-cache-v1,S-agent-a0370ce,,0.820,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/artifact-metadata-cache/all-phases-progress.md,Session,,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-024,Session->Feature,artifact-metadata-cache-v1,S-agent-a938c99,,0.820,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/artifact-metadata-cache/all-phases-progress.md,Session,,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-025,Session->Feature,artifact-metadata-cache-v1,S-c6c8724c-a83f-4e74-bc07-f602eec32030,,0.820,2,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,Plan Feature - artifact-metadata-cache-v1,/plan:plan-feature,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-026,Session->Feature,artifact-metadata-cache-v1,S-agent-aa634c7,,0.800,2,file_write,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,Session,,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-027,Session->Feature,artifact-metadata-cache-v1,S-decf6d6d-74d1-433e-b678-54a5340a8830,,0.800,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,Quick Feature - artifact-metadata-cache-v1,/dev:quick-feature,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-028,Session->Feature,artifact-metadata-cache-v1,S-cd58ebdd-4270-459f-bda5-050d682c9755,,0.780,1,command_args_path,docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,Debug - artifact-metadata-cache-v1,/fix:debug,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-029,Session->Feature,artifact-metadata-cache-v1,S-1015b408-f82a-492e-8e7f-291907bd3cdb,,0.350,5,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,/release-notes - artifact-metadata-cache-v1,/release-notes,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-030,Session->Feature,artifact-metadata-cache-v1,S-6b29bbf6-16c5-4507-bb1b-98f27fac223d,,0.350,5,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,Debug - artifact-metadata-cache-v1,/fix:debug,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-031,Session->Feature,artifact-metadata-cache-v1,S-agent-a07ef8a,,0.350,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,Session,,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-032,Session->Feature,artifact-metadata-cache-v1,S-agent-a22e7f5,,0.350,1,file_read,/Users/miethe/dev/homelab/development/skillmeat/.claude/progress/artifact-metadata-cache/all-phases-progress.md,Session,,LIKELY_VALID,feature token in title/signal path,KEEP,
R2-S-033,Session->Feature,artifact-metadata-cache-v1,S-agent-a597d69,,0.350,3,file_read,/Users/miethe/dev/homelab/development/skillmeat/docs/project_plans/implementation_plans/refactors/artifact-metadata-cache-v1.md,Session,,LIKELY_VALID,feature token in title/signal path,KEEP,
